depth,downtemp1,downtemp2,downsalinity1,downsalinity2,downdensity,C7,uptemp1,uptemp2,upsalinity1,upsalinity2,updensity
10,27.4158,27.42,33.3146,33.3137,21.3191,10,27.4563,27.457,33.314,33.3144,21.3057
20,27.4004,27.4084,33.3133,33.314,21.3238,20,27.4098,27.4042,33.3128,33.3133,21.3204
30,27.3268,27.3282,33.3145,33.314,21.349,30,27.3228,27.3184,33.3123,33.3136,21.3486
40,27.1651,27.1656,33.3368,33.3371,21.4181,40,27.0862,27.0856,33.352,33.3524,21.4546
50,26.843,26.8444,33.4372,33.4362,21.5965,50,26.8297,26.8257,33.4633,33.4646,21.6203
60,26.6797,26.6799,33.6032,33.6044,21.7737,60,26.5685,26.5457,33.6363,33.6409,21.8336
70,24.961,24.9557,34.1052,34.1143,22.6834,70,24.6923,24.6812,34.1855,34.1818,22.8249
80,21.1814,21.1829,34.6548,34.6574,24.1873,80,21.2,21.2615,34.6909,34.6819,24.2097
90,18.2453,18.2435,34.6438,34.673,24.9436,90,17.3849,17.5753,34.7121,34.6951,25.2059
100,15.5176,15.5181,34.7003,34.7047,25.6304,100,15.4281,15.4171,34.7161,34.7152,25.6626
110,14.4404,14.4426,34.7343,34.7338,25.8925,110,14.1,13.8777,34.7421,34.7431,25.9708
120,13.5817,13.5835,34.7509,34.75,26.0857,120,13.4634,13.4462,34.7599,34.7615,26.117
130,13.3321,13.3305,34.7619,34.7651,26.1456,130,13.0177,13.0785,34.7831,34.7814,26.2255
140,12.9872,12.9881,34.7857,34.7856,26.2339,140,12.8032,12.7759,34.8075,34.8078,26.2874
150,12.7473,12.7482,34.8063,34.8067,26.2979,150,12.3808,12.3845,34.7963,34.7954,26.3619
160,12.3862,12.3862,34.7935,34.7959,26.3589,160,12.1168,12.0946,34.7841,34.7792,26.4036
170,12.2114,12.2117,34.7887,34.7901,26.3893,170,12.0257,11.9492,34.7816,34.7767,26.4194
180,12.039,12.0395,34.7805,34.7811,26.4162,180,11.7877,11.7815,34.7698,34.7679,26.4555
190,11.7966,11.7964,34.768,34.77,26.4526,190,11.5288,11.5217,34.7567,34.7583,26.494
200,11.5472,11.5473,34.754,34.7558,26.4887,200,11.415,11.4022,34.7539,34.7515,26.5131
210,11.3875,11.3871,34.7482,34.7508,26.514,210,11.1943,11.2041,34.745,34.7429,26.5468
220,11.1977,11.1972,34.7435,34.7452,26.5453,220,11.1595,11.1651,34.7495,34.7488,26.5569
230,11.1781,11.1778,34.7488,34.7502,26.5532,230,10.9937,11.0278,34.7445,34.7437,26.5833
240,11.0116,11.0112,34.7421,34.7444,26.5785,240,10.8615,10.8355,34.7378,34.7355,26.602
250,10.8574,10.8567,34.7368,34.7386,26.6022,250,10.7822,10.7797,34.7336,34.7342,26.6131
260,10.7814,10.7804,34.7323,34.7353,26.6125,260,10.6584,10.6766,34.7296,34.7279,26.6321
270,10.7116,10.7108,34.7304,34.7322,26.6236,270,10.5879,10.5854,34.7265,34.7243,26.6424
280,10.5973,10.5949,34.7248,34.7275,26.6397,280,10.4877,10.483,34.722,34.7207,26.6567
290,10.5073,10.5064,34.7215,34.7235,26.6531,290,10.3935,10.4021,34.7188,34.7181,26.6708
300,10.4206,10.419,34.7175,34.7204,26.6654,300,10.3496,10.3465,34.7165,34.7146,26.6769
310,10.3429,10.3419,34.7149,34.7169,26.677,310,10.2957,10.3043,34.714,34.7131,26.6845
320,10.3062,10.3045,34.7132,34.7158,26.6823,320,10.1601,10.1592,34.7085,34.7068,26.7037
330,10.1927,10.1918,34.7083,34.7101,26.6982,330,10.0742,10.0734,34.7065,34.704,26.7171
340,10.1095,10.108,34.7039,34.7077,26.7092,340,9.972,9.9775,34.7017,34.6987,26.731
350,10.0032,10.0017,34.6991,34.7035,26.7238,350,9.8652,9.8538,34.696,34.6931,26.7447
360,9.8522,9.8503,34.6918,34.696,26.7438,360,9.7327,9.7194,34.6901,34.6877,26.7626
370,9.7777,9.7767,34.6896,34.6918,26.7548,370,9.5381,9.5344,34.6798,34.6738,26.7869
380,9.5546,9.5525,34.6744,34.6816,26.7802,380,9.4168,9.4258,34.6754,34.6737,26.8037
390,9.3881,9.3861,34.6686,34.6723,26.8032,390,9.1972,9.2104,34.6637,34.6607,26.8304
400,9.1908,9.1896,34.6593,34.6617,26.8281,400,9.0062,9.014,34.6534,34.6501,26.8531
410,9.0101,9.009,34.6503,34.6524,26.8502,410,8.9315,8.9369,34.6494,34.6475,26.862
420,8.9463,8.9452,34.6481,34.6501,26.8588,420,8.9018,8.8948,34.6509,34.647,26.8681
430,8.935,8.9338,34.6486,34.6504,26.8612,430,8.738,8.7445,34.6409,34.6396,26.8862
440,8.7339,8.7327,34.6374,34.6397,26.8842,440,8.6401,8.6442,34.6377,34.6347,26.8991
450,8.647,8.6459,34.6349,34.6371,26.896,450,8.5237,8.5428,34.6293,34.6282,26.9107
460,8.5333,8.5311,34.6249,34.6275,26.9059,460,8.3892,8.3947,34.6213,34.6185,26.9251
470,8.3717,8.3705,34.6153,34.6181,26.9233,470,8.1873,8.2027,34.6099,34.6089,26.947
480,8.2041,8.2024,34.6059,34.6097,26.9415,480,8.0523,8.0183,34.6071,34.6032,26.9651
490,8.0004,7.9991,34.6005,34.6031,26.9678,490,7.86,7.8624,34.6018,34.6006,26.9895
500,7.8275,7.826,34.5958,34.5992,26.9898,500,7.7299,7.7326,34.5986,34.597,27.0062
520,7.5489,7.5472,34.5896,34.593,27.0255,520,7.47,7.457,34.592,34.5879,27.0387
540,7.2588,7.255,34.5724,34.5768,27.0534,540,7.2234,7.2242,34.5757,34.5736,27.061
560,7.1486,7.1475,34.5733,34.5747,27.0697,560,7.1231,7.0636,34.5753,34.569,27.0749
580,6.9055,6.9038,34.5671,34.5716,27.0985,580,6.8655,6.8644,34.5718,34.5702,27.1077
600,6.7574,6.7565,34.5684,34.5699,27.1199,600,6.7183,6.7276,34.5702,34.567,27.1265
620,6.5738,6.5728,34.5644,34.5657,27.1415,620,6.5609,6.563,34.566,34.5642,27.1444
640,6.5126,6.5114,34.5638,34.5666,27.1494,640,6.4745,6.4721,34.5667,34.5649,27.1566
660,6.2987,6.2972,34.5608,34.5641,27.1752,660,6.242,6.1923,34.5628,34.557,27.184
680,6.0781,6.0772,34.5587,34.5599,27.2019,680,6.0615,6.057,34.5598,34.5577,27.2049
700,5.9647,5.9622,34.5584,34.5596,27.2162,700,5.9281,5.9416,34.5617,34.5585,27.2234
720,5.8715,5.8709,34.5593,34.5604,27.2288,720,5.8257,5.8086,34.5611,34.559,27.2359
740,5.6631,5.6621,34.559,34.5604,27.2544,740,5.6105,5.6064,34.5613,34.5589,27.2626
760,5.5574,5.5565,34.5604,34.5616,27.2685,760,5.5428,5.5424,34.5611,34.5597,27.2709
780,5.454,5.4533,34.5605,34.5617,27.2813,780,5.3967,5.3908,34.5625,34.5607,27.2897
800,5.2984,5.2976,34.5605,34.5614,27.2999,800,5.2867,5.2892,34.5628,34.5613,27.3031
820,5.233,5.2323,34.5611,34.5618,27.3083,820,5.2198,5.2207,34.5627,34.5618,27.3111
840,5.1304,5.1296,34.5605,34.5613,27.3199,840,5.1107,5.113,34.5621,34.561,27.3235
860,5.041,5.0402,34.5608,34.5613,27.3307,860,5.0384,5.0384,34.5622,34.5614,27.3321
880,4.9498,4.9492,34.5607,34.5613,27.3412,880,4.9481,4.9456,34.5624,34.5612,27.3427
900,4.8592,4.8586,34.5616,34.5621,27.3523,900,4.8432,4.8437,34.5628,34.5621,27.3551
920,4.802,4.8014,34.5611,34.5615,27.3585,920,4.7838,4.7828,34.5628,34.5613,27.3619
940,4.7393,4.7387,34.5622,34.563,27.3666,940,4.7183,4.7175,34.5634,34.5632,27.3698
960,4.6899,4.6894,34.5625,34.5629,27.3725,960,4.6583,4.6535,34.5634,34.5644,27.3767
980,4.5837,4.5832,34.5632,34.5636,27.3849,980,4.5621,4.5628,34.5643,34.5637,27.3881
1000,4.4731,4.4727,34.5641,34.564,27.3977,1000,4.4737,4.472,34.5644,34.5642,27.3979
