thickness,thick,freq
0.06,0.06,1
0.064,0.061,0
0.064,0.062,0
0.065,0.063,0
0.066,0.064,2
0.068,0.065,1
0.069,0.066,1
0.069,0.067,0
0.069,0.068,1
0.069,0.069,7
0.069,0.07,26
0.069,0.071,20
0.069,0.072,32
0.07,0.073,11
0.07,0.074,10
0.07,0.075,20
0.07,0.076,18
0.07,0.077,11
0.07,0.078,23
0.07,0.079,42
0.07,0.08,37
0.07,0.081,15
0.07,0.082,18
0.07,0.083,7
0.07,0.084,3
0.07,0.085,2
0.07,0.086,2
0.07,0.087,1
0.07,0.088,2
0.07,0.089,10
0.07,0.09,9
0.07,0.091,3
0.07,0.092,5
0.07,0.093,6
0.07,0.094,3
0.07,0.095,2
0.07,0.096,3
0.07,0.097,7
0.07,0.098,5
0.071,0.099,5
0.071,0.1,15
0.071,0.101,9
0.071,0.102,8
0.071,0.103,7
0.071,0.104,2
0.071,0.105,5
0.071,0.106,4
0.071,0.107,3
0.071,0.108,7
0.071,0.109,7
0.071,0.11,11
0.071,0.111,4
0.071,0.112,5
0.071,0.113,0
0.071,0.114,3
0.071,0.115,3
0.071,0.116,0
0.071,0.117,1
0.071,0.118,0
0.072,0.119,4
0.072,0.12,3
0.072,0.121,1
0.072,0.122,2
0.072,0.123,2
0.072,0.124,0
0.072,0.125,2
0.072,0.126,0
0.072,0.127,0
0.072,0.128,1
0.072,0.129,3
0.072,0.13,1
0.072,0.131,1
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.072,,
0.073,,
0.073,,
0.073,,
0.073,,
0.073,,
0.073,,
0.073,,
0.073,,
0.073,,
0.073,,
0.073,,
0.074,,
0.074,,
0.074,,
0.074,,
0.074,,
0.074,,
0.074,,
0.074,,
0.074,,
0.074,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.075,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.076,,
0.077,,
0.077,,
0.077,,
0.077,,
0.077,,
0.077,,
0.077,,
0.077,,
0.077,,
0.077,,
0.077,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.078,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.079,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.08,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.081,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.082,,
0.083,,
0.083,,
0.083,,
0.083,,
0.083,,
0.083,,
0.083,,
0.084,,
0.084,,
0.084,,
0.085,,
0.085,,
0.086,,
0.086,,
0.087,,
0.088,,
0.088,,
0.089,,
0.089,,
0.089,,
0.089,,
0.089,,
0.089,,
0.089,,
0.089,,
0.089,,
0.089,,
0.09,,
0.09,,
0.09,,
0.09,,
0.09,,
0.09,,
0.09,,
0.09,,
0.09,,
0.091,,
0.091,,
0.091,,
0.092,,
0.092,,
0.092,,
0.092,,
0.092,,
0.093,,
0.093,,
0.093,,
0.093,,
0.093,,
0.093,,
0.094,,
0.094,,
0.094,,
0.095,,
0.095,,
0.096,,
0.096,,
0.096,,
0.097,,
0.097,,
0.097,,
0.097,,
0.097,,
0.097,,
0.097,,
0.098,,
0.098,,
0.098,,
0.098,,
0.098,,
0.099,,
0.099,,
0.099,,
0.099,,
0.099,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.1,,
0.101,,
0.101,,
0.101,,
0.101,,
0.101,,
0.101,,
0.101,,
0.101,,
0.101,,
0.102,,
0.102,,
0.102,,
0.102,,
0.102,,
0.102,,
0.102,,
0.102,,
0.103,,
0.103,,
0.103,,
0.103,,
0.103,,
0.103,,
0.103,,
0.104,,
0.104,,
0.105,,
0.105,,
0.105,,
0.105,,
0.105,,
0.106,,
0.106,,
0.106,,
0.106,,
0.107,,
0.107,,
0.107,,
0.108,,
0.108,,
0.108,,
0.108,,
0.108,,
0.108,,
0.108,,
0.109,,
0.109,,
0.109,,
0.109,,
0.109,,
0.109,,
0.109,,
0.11,,
0.11,,
0.11,,
0.11,,
0.11,,
0.11,,
0.11,,
0.11,,
0.11,,
0.11,,
0.11,,
0.111,,
0.111,,
0.111,,
0.111,,
0.112,,
0.112,,
0.112,,
0.112,,
0.112,,
0.114,,
0.114,,
0.114,,
0.115,,
0.115,,
0.115,,
0.117,,
0.119,,
0.119,,
0.119,,
0.119,,
0.12,,
0.12,,
0.12,,
0.121,,
0.122,,
0.122,,
0.123,,
0.123,,
0.125,,
0.125,,
0.128,,
0.129,,
0.129,,
0.129,,
0.13,,
0.131,,
